epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8901,2.00726,4.22992,2.1079,0.00314,0.94286,0.21819,0.15407,2.42236,4.05832,2.57583,0.000648148,0.000648148,0.000648148
2,95.6667,1.10577,2.70899,1.26085,0.86023,0.88571,0.9037,0.69591,0.9504,1.95225,1.07965,0.00118465,0.00118465,0.00118465
3,151.665,0.72929,1.97055,0.99303,0.99589,0.91429,0.94258,0.86188,0.60232,1.25979,0.85406,0.00158915,0.00158915,0.00158915
4,198.484,0.66428,1.57269,0.93457,0.99561,0.94286,0.97617,0.84954,0.72993,1.18244,0.86747,0.001406,0.001406,0.001406
5,245.344,0.6165,1.42998,0.91069,0.99798,0.94286,0.95581,0.88495,0.55205,0.98454,0.82061,0.001208,0.001208,0.001208
6,292.543,0.53852,1.27283,0.87158,0.99763,0.94286,0.99209,0.91768,0.49594,0.82982,0.80578,0.00101,0.00101,0.00101
7,339.159,0.51446,1.17419,0.87181,1,0.96853,0.99444,0.90894,0.48938,0.83625,0.80655,0.000812,0.000812,0.000812
8,388.428,0.48546,1.09892,0.85959,0.99787,0.94286,0.99256,0.93842,0.39565,0.72142,0.77439,0.000614,0.000614,0.000614
9,435.48,0.47613,1.04177,0.85203,0.99785,0.94286,0.99361,0.94439,0.39676,0.71743,0.77249,0.000416,0.000416,0.000416
10,482.092,0.44783,1.02992,0.83184,1,0.9693,0.99444,0.93916,0.40345,0.71304,0.77171,0.000218,0.000218,0.000218
